location,total_sqft,size,area_type,balcony,bath,price
Kanakapura,1699.0,3,Super built-up  Area,3.0,3.0,97.0
Bellandur,2025.0,4,Super built-up  Area,3.0,4.0,109.0
Ananth Nagar,500.0,1,Super built-up  Area,2.0,2.0,14.0
others,500.0,1,Built-up  Area,0.0,1.0,20.0
others,1146.0,2,Built-up  Area,1.0,2.0,38.5
Malleshwaram,2475.0,3,Super built-up  Area,3.0,4.0,332.0
Haralur Road,1455.0,2,Super built-up  Area,1.0,2.0,145.0
Seegehalli,800.0,2,Plot  Area,0.0,1.0,50.0
Abbigere,765.0,1,Super built-up  Area,2.0,2.0,30.0
Lingadheeranahalli,1521.0,3,Super built-up  Area,1.0,3.0,94.99
Gottigere,1600.0,3,Super built-up  Area,2.0,2.0,55.0
others,3155.0,3,Super built-up  Area,2.0,4.0,370.0
others,1765.0,3,Super built-up  Area,3.0,3.0,105.0
Kasavanhalli,1980.0,3,Super built-up  Area,2.0,3.0,88.0
Amruthahalli,1900.0,3,Built-up  Area,1.0,3.0,135.0
others,1265.0,2,Super built-up  Area,3.0,2.0,70.0
Bommasandra,1034.0,2,Super built-up  Area,3.0,2.0,40.0
others,1012.0,2,Built-up  Area,1.0,2.0,59.0
Electronic City,1070.0,2,Super built-up  Area,1.0,2.0,54.0
Mahadevpura,3555.0,4,Built-up  Area,1.0,4.0,230.0
others,1270.0,3,Super built-up  Area,2.0,2.0,70.0
Yeshwanthpur,585.0,2,Plot  Area,0.0,1.0,70.0
others,2045.0,3,Super built-up  Area,3.0,4.0,154.0
Bellandur,1490.0,3,Super built-up  Area,2.0,2.0,98.0
Banaswadi,6150.0,7,Built-up  Area,1.0,6.0,830.0
Mysore Road,883.0,2,Super built-up  Area,1.0,2.0,40.0
Yeshwanthpur,671.0,1,Super built-up  Area,1.0,1.0,36.85
Kammasandra,1156.0,2,Super built-up  Area,2.0,2.0,32.0
Haralur Road,2017.0,3,Super built-up  Area,2.0,3.0,125.0
Thigalarapalya,3122.0,4,Super built-up  Area,2.0,6.0,235.0
Ramagondanahalli,1635.0,3,Super built-up  Area,1.0,3.0,62.0
Kanakpura Road,1296.0,2,Super built-up  Area,1.0,2.0,89.0
others,2400.0,6,Plot  Area,2.0,4.0,280.0
Budigere,1139.0,2,Super built-up  Area,2.0,2.0,62.0
CV Raman Nagar,1230.0,2,Super built-up  Area,2.0,3.0,47.0
others,581.91,1,Super built-up  Area,1.0,2.0,25.0
Binny Pete,1245.0,2,Super built-up  Area,1.0,2.0,86.28
others,1158.0,3,Plot  Area,2.0,2.0,85.0
Marathahalli,3951.0,4,Built-up  Area,2.0,4.0,220.0
Electronic City,550.0,2,Super built-up  Area,1.0,1.0,15.0
Ramamurthy Nagar,360.0,1,Super built-up  Area,1.0,1.0,26.0
Electronics City Phase 1,1350.0,3,Super built-up  Area,1.0,3.0,55.0
Green Glen Layout,1670.0,3,Built-up  Area,2.0,3.0,120.0
Akshaya Nagar,1600.0,3,Super built-up  Area,2.0,2.0,65.0
Horamavu Banaswadi,1307.0,2,Super built-up  Area,2.0,2.0,51.6
7th Phase JP Nagar,1050.0,3,Built-up  Area,1.0,2.0,57.0
Kaggalipura,1210.0,3,Super built-up  Area,1.0,2.0,58.0
Electronic City,1025.0,2,Built-up  Area,1.0,2.0,29.6
7th Phase JP Nagar,1343.0,3,Super built-up  Area,2.0,2.0,56.41
R.T. Nagar,1560.0,3,Super built-up  Area,2.0,3.0,85.0
others,925.0,2,Super built-up  Area,2.0,2.0,51.0
Kanakpura Road,1420.0,3,Super built-up  Area,2.0,2.0,75.0
others,1415.0,2,Built-up  Area,3.0,2.0,110.0
others,1210.0,2,Super built-up  Area,2.0,2.0,60.0
Yeshwanthpur,1852.0,3,Super built-up  Area,2.0,3.0,160.0
Hoskote,1250.0,3,Super built-up  Area,2.0,3.0,50.0
9th Phase JP Nagar,1100.0,2,Super built-up  Area,1.0,2.0,65.0
others,1150.0,2,Super built-up  Area,1.0,2.0,40.25
Jakkur,1100.0,2,Super built-up  Area,1.0,2.0,53.35
Magadi Road,1350.0,2,Plot  Area,0.0,1.0,100.0
Panathur,1546.0,3,Super built-up  Area,2.0,3.0,99.0
Ambedkar Nagar,1424.0,2,Super built-up  Area,2.0,2.0,90.0
Bellandur,1398.0,3,Built-up  Area,1.0,3.0,68.0
Indira Nagar,1650.0,3,Super built-up  Area,2.0,3.0,200.0
HBR Layout,1200.0,4,Plot  Area,0.0,4.0,120.0
Brookefield,1476.0,3,Super built-up  Area,2.0,3.0,105.0
others,500.0,2,Built-up  Area,1.0,2.0,70.0
Magadi Road,1322.0,3,Super built-up  Area,2.0,2.0,58.82
others,432.0,2,Plot  Area,1.0,2.0,40.0
others,1100.0,2,Built-up  Area,2.0,2.0,55.0
Sarjapur,1285.0,3,Built-up  Area,2.0,2.0,68.0
Ambalipura,1150.0,2,Built-up  Area,2.0,2.0,80.0
Thanisandra,1430.0,3,Super built-up  Area,2.0,2.0,56.0
Marathahalli,1350.0,3,Super built-up  Area,2.0,2.0,62.0
others,1350.0,3,Plot  Area,3.0,3.0,195.0
Thubarahalli,1185.0,2,Built-up  Area,2.0,2.0,65.0
Bannerghatta Road,1760.0,3,Super built-up  Area,2.0,3.0,67.0
others,2400.0,4,Plot  Area,2.0,5.0,350.0
Kanakpura Road,900.0,2,Super built-up  Area,1.0,2.0,41.0
Kanakpura Road,1297.0,2,Super built-up  Area,1.0,2.0,105.0
others,1840.0,3,Super built-up  Area,2.0,3.0,155.0
Ramamurthy Nagar,950.0,2,Built-up  Area,1.0,2.0,50.79
Chikkabanavar,1200.0,5,Plot  Area,1.0,4.0,70.0
BTM 2nd Stage,950.0,2,Carpet  Area,1.0,2.0,52.0
Yeshwanthpur,1902.5,2,Super built-up  Area,0.0,2.0,95.815
Electronic City,1571.0,3,Super built-up  Area,2.0,3.0,89.0
Electronic City Phase II,1031.0,2,Super built-up  Area,1.0,2.0,55.0
Whitefield,1485.0,2,Super built-up  Area,1.0,2.0,90.0
Ananth Nagar,1109.0,2,Super built-up  Area,1.0,2.0,60.0
Koramangala,2200.0,3,Super built-up  Area,2.0,3.0,180.0
Whitefield,950.0,1,Super built-up  Area,1.0,1.0,50.0
Laggere,1200.0,3,Plot  Area,0.0,2.0,150.0
Basavangudi,2350.0,3,Super built-up  Area,3.0,3.0,300.0
Electronic City Phase II,1003.0,2,Super built-up  Area,1.0,2.0,40.6
others,1350.0,2,Plot  Area,1.0,2.0,185.0
9th Phase JP Nagar,1080.0,2,Super built-up  Area,2.0,2.0,37.0
Hulimavu,1255.0,2,Super built-up  Area,2.0,2.0,73.0
Banaswadi,1250.0,2,Super built-up  Area,0.0,2.0,60.0
Brookefield,1700.0,4,Plot  Area,1.0,4.0,152.0
Ramamurthy Nagar,1200.0,3,Plot  Area,0.0,2.0,66.0
others,824.0,2,Built-up  Area,0.0,2.0,60.0
1st Phase JP Nagar,1875.0,3,Super built-up  Area,1.0,3.0,167.0
Bommasandra Industrial Area,1320.0,3,Built-up  Area,1.0,2.0,38.12
Kothanur,9600.0,5,Plot  Area,2.0,5.0,550.0
Uttarahalli,1330.0,3,Super built-up  Area,1.0,2.0,47.0
Kaikondrahalli,1220.0,3,Super built-up  Area,2.0,3.0,56.0
Electronic City,1111.0,3,Super built-up  Area,1.0,3.0,50.0
Kothannur,1197.0,2,Super built-up  Area,1.0,2.0,47.88
Marathahalli,2519.0,4,Super built-up  Area,2.0,5.0,185.0
others,1340.0,3,Super built-up  Area,1.0,2.0,100.0
Old Madras Road,1450.0,4,Plot  Area,3.0,3.0,132.0
Hoodi,1837.0,3,Super built-up  Area,3.0,3.0,145.0
Kudlu Gate,1238.0,2,Super built-up  Area,3.0,2.0,55.0
7th Phase JP Nagar,1405.0,3,Super built-up  Area,2.0,2.0,59.01
others,1690.0,4,Super built-up  Area,2.0,3.0,80.0
others,1620.0,3,Built-up  Area,1.0,2.0,110.0
Kanakpura Road,1673.0,3,Super built-up  Area,2.0,3.0,115.0
Margondanahalli,1090.0,2,Plot  Area,0.0,2.0,58.0
Varthur,1112.0,2,Super built-up  Area,2.0,2.0,40.0
Marathahalli,1385.0,3,Super built-up  Area,2.0,2.0,66.65
Electronic City Phase II,545.0,2,Super built-up  Area,1.0,1.0,27.0
Subramanyapura,985.0,2,Super built-up  Area,1.0,2.0,58.0
Kanakpura Road,1160.0,1,Super built-up  Area,0.0,1.0,36.29
Kanakpura Road,1080.0,2,Super built-up  Area,1.0,2.0,37.8
Hosa Road,1430.0,2,Super built-up  Area,1.0,2.0,97.52
Kengeri Satellite Town,1050.0,2,Super built-up  Area,2.0,2.0,43.0
Kumaraswami Layout,2000.0,4,Plot  Area,1.0,4.0,139.0
Banashankari Stage VI,4800.0,4,Built-up  Area,3.0,4.0,190.0
others,1533.0,3,Built-up  Area,2.0,3.0,115.0
others,2800.0,4,Plot  Area,2.0,3.0,500.0
Lakshminarayana Pura,1750.0,3,Super built-up  Area,2.0,3.0,150.0
Prithvi Layout,1352.0,2,Super built-up  Area,2.0,2.0,87.5
Harlur,1754.0,3,Super built-up  Area,2.0,3.0,125.0
others,1560.0,3,Built-up  Area,2.0,3.0,85.0
Bannerghatta,3012.0,4,Super built-up  Area,2.0,6.0,268.0
Channasandra,1470.0,3,Super built-up  Area,1.0,2.0,90.0
9th Phase JP Nagar,1035.0,2,Built-up  Area,1.0,2.0,45.0
Kammanahalli,1160.0,2,Built-up  Area,1.0,2.0,52.0
Jakkur,1100.0,2,Super built-up  Area,2.0,2.0,52.0
Bannerghatta Road,595.0,1,Super built-up  Area,1.0,1.0,31.83
HSR Layout,1650.0,3,Super built-up  Area,2.0,3.0,110.0
1st Block Jayanagar,1875.0,3,Super built-up  Area,3.0,2.0,235.0
others,800.0,4,Super built-up  Area,1.0,4.0,80.0
others,1375.0,3,Super built-up  Area,3.0,2.0,48.06
Ramagondanahalli,1235.0,2,Super built-up  Area,1.0,2.0,46.8
others,750.0,1,Super built-up  Area,2.0,1.0,25.0
7th Phase JP Nagar,1400.0,3,Built-up  Area,1.0,3.0,115.0
Poorna Pragna Layout,1270.0,3,Super built-up  Area,2.0,2.0,50.79
Bannerghatta Road,1105.0,2,Super built-up  Area,1.0,2.0,51.0
others,1375.0,3,Super built-up  Area,3.0,2.0,85.0
Attibele,2168.0,4,Plot  Area,2.0,4.0,95.0
Gottigere,1200.0,8,Built-up  Area,3.0,8.0,90.0
Yelahanka,1065.0,2,Super built-up  Area,1.0,2.0,40.84
others,3800.0,3,Plot  Area,0.0,3.0,580.0
Whitefield,825.0,1,Super built-up  Area,1.0,1.0,45.0
others,1095.0,2,Built-up  Area,0.0,2.0,40.0
others,720.0,3,Plot  Area,3.0,3.0,65.0
others,1440.0,3,Super built-up  Area,2.0,2.0,60.33
Electronic City,870.0,2,Super built-up  Area,1.0,2.0,39.5
Panathur,1195.0,2,Super built-up  Area,1.0,2.0,84.0
others,1200.0,2,Super built-up  Area,1.0,2.0,49.5
Raja Rajeshwari Nagar,1530.0,3,Super built-up  Area,3.0,3.0,61.2
Padmanabhanagar,1708.0,3,Super built-up  Area,1.0,2.0,90.5
others,975.0,2,Super built-up  Area,1.0,2.0,43.0
KR Puram,750.0,2,Built-up  Area,1.0,2.0,25.0
others,1200.0,8,Plot  Area,2.0,8.0,190.0
Iblur Village,1920.0,3,Super built-up  Area,2.0,3.0,130.0
Nagarbhavi,1200.0,6,Plot  Area,2.0,5.0,240.0
Thanisandra,1183.0,2,Super built-up  Area,1.0,2.0,58.56
Kothanur,1140.0,4,Plot  Area,1.0,4.0,90.0
Mico Layout,1550.0,3,Super built-up  Area,2.0,2.0,65.0
Kaggadasapura,1110.0,2,Super built-up  Area,3.0,2.0,53.0
others,1500.0,8,Plot  Area,3.0,10.0,165.0
Kaggadasapura,1105.0,2,Super built-up  Area,1.0,2.0,38.67
Anekal,1800.0,3,Plot  Area,2.0,3.0,68.0
others,2800.0,5,Super built-up  Area,2.0,4.0,200.0
Bommanahalli,1000.0,2,Super built-up  Area,2.0,2.0,29.9
Prithvi Layout,1190.0,2,Built-up  Area,2.0,2.0,68.0
2nd Stage Nagarbhavi,1350.0,4,Plot  Area,1.0,4.0,200.0
Hebbal,3067.0,4,Super built-up  Area,2.0,4.0,230.0
Sarjapur  Road,1929.0,3,Super built-up  Area,1.0,4.0,103.0
Ramamurthy Nagar,1525.0,3,Built-up  Area,1.0,3.0,100.0
others,1775.0,3,Super built-up  Area,3.0,3.0,110.0
Banashankari,1125.0,2,Built-up  Area,1.0,2.0,63.0
others,900.0,2,Super built-up  Area,2.0,2.0,42.0
Sarjapur  Road,1155.0,2,Super built-up  Area,1.0,2.0,58.0
Hulimavu,1200.0,4,Built-up  Area,0.0,4.0,75.0
Sonnenahalli,1268.0,2,Super built-up  Area,1.0,2.0,73.0
others,1500.0,3,Built-up  Area,2.0,3.0,88.0
Electronic City,630.0,1,Super built-up  Area,1.0,1.0,47.0
Seegehalli,1525.0,3,Super built-up  Area,2.0,3.0,65.0
Kaggadasapura,1060.0,2,Super built-up  Area,2.0,2.0,48.0
Lingadheeranahalli,1687.0,3,Super built-up  Area,3.0,3.0,127.0
Thanisandra,1847.0,3,Super built-up  Area,2.0,3.0,123.0
Begur Road,1410.0,3,Super built-up  Area,3.0,2.0,53.0
7th Phase JP Nagar,1075.0,2,Super built-up  Area,1.0,2.0,42.99
BTM Layout,3000.0,3,Built-up  Area,0.0,3.0,338.0
Basavangudi,1500.0,3,Built-up  Area,1.0,2.0,143.0
others,1010.0,2,Built-up  Area,2.0,2.0,46.0
Haralur Road,1875.0,3,Super built-up  Area,3.0,3.0,110.0
Kanakpura Road,983.0,2,Super built-up  Area,1.0,2.0,50.6
Kasturi Nagar,1101.0,2,Super built-up  Area,2.0,2.0,65.0
others,1140.0,2,Super built-up  Area,1.0,2.0,76.0
Sarjapur  Road,1215.0,2,Super built-up  Area,2.0,2.0,110.0
Kengeri Satellite Town,1007.0,2,Super built-up  Area,3.0,2.0,42.0
Bellandur,2039.0,3,Super built-up  Area,2.0,3.0,168.0
Ulsoor,1020.0,3,Built-up  Area,2.0,3.0,110.0
others,1198.0,2,Super built-up  Area,1.0,2.0,84.0
others,4000.0,4,Built-up  Area,1.0,4.0,520.0
others,1470.0,4,Plot  Area,2.0,4.0,34.5
others,1370.0,2,Built-up  Area,2.0,2.0,75.0
others,1316.0,2,Super built-up  Area,3.0,2.0,55.5
Kaggadasapura,1350.0,3,Super built-up  Area,1.0,3.0,55.5
others,1050.0,2,Super built-up  Area,1.0,2.0,43.0
KR Puram,1631.275,3,Carpet  Area,0.0,3.0,47.405
Electronic City,921.0,2,Super built-up  Area,1.0,2.0,34.0
Kundalahalli,1010.0,2,Super built-up  Area,1.0,2.0,49.27
KR Puram,1015.0,2,Super built-up  Area,1.0,2.0,43.0
TC Palaya,1200.0,3,Plot  Area,0.0,2.0,66.5
Lakshminarayana Pura,1179.0,2,Built-up  Area,1.0,2.0,75.0
Anjanapura,1850.0,4,Built-up  Area,2.0,4.0,86.0
Kammasandra,870.0,2,Super built-up  Area,1.0,2.0,24.0
Bellandur,1605.0,3,Super built-up  Area,2.0,3.0,85.0
Banashankari Stage VI,2800.0,4,Plot  Area,2.0,4.0,89.0
Malleshwaram,2475.0,3,Super built-up  Area,3.0,4.0,320.0
others,3000.0,2,Plot  Area,0.0,2.0,510.0
others,2400.0,6,Plot  Area,2.0,7.0,110.0
others,1000.0,2,Super built-up  Area,1.0,1.0,55.0
Ramamurthy Nagar,1200.0,2,Plot  Area,0.0,2.0,80.0
others,1200.0,2,Plot  Area,2.0,2.0,125.0
Kammasandra,1200.0,2,Plot  Area,1.0,2.0,66.0
others,1200.0,2,Built-up  Area,2.0,2.0,50.0
Hennur,1255.0,2,Super built-up  Area,1.0,2.0,57.5
Hosur Road,1085.0,2,Super built-up  Area,2.0,2.0,30.38
others,1313.0,2,Super built-up  Area,1.0,2.0,58.27
Kogilu,1934.0,3,Super built-up  Area,2.0,3.0,150.0
Harlur,1200.0,2,Super built-up  Area,1.0,2.0,49.5
Uttarahalli,3600.0,6,Super built-up  Area,2.0,6.0,120.0
Old Madras Road,935.0,2,Super built-up  Area,1.0,2.0,45.0
Bommasandra,877.0,2,Built-up  Area,2.0,2.0,30.0
others,936.0,2,Super built-up  Area,2.0,2.0,42.0
Nagasandra,1470.0,3,Super built-up  Area,2.0,2.0,110.0
others,1050.0,1,Built-up  Area,1.0,1.0,70.0
Hennur Road,1232.0,2,Super built-up  Area,0.0,2.0,69.61
Ambedkar Nagar,2225.0,3,Super built-up  Area,2.0,4.0,169.0
others,1200.0,3,Plot  Area,0.0,2.0,80.0
Dasarahalli,1901.0,3,Super built-up  Area,2.0,3.0,119.0
Sarjapur  Road,1819.0,3,Super built-up  Area,2.0,3.0,100.0
Old Madras Road,5530.0,4,Super built-up  Area,0.0,6.0,200.5
9th Phase JP Nagar,5000.0,4,Built-up  Area,3.0,4.0,290.0
others,1200.0,4,Super built-up  Area,3.0,4.0,169.0
others,1256.0,2,Super built-up  Area,1.0,2.0,60.0
7th Phase JP Nagar,1100.0,2,Super built-up  Area,2.0,2.0,44.0
TC Palaya,4800.0,4,Plot  Area,3.0,3.0,302.0
Kothanur,1435.0,3,Super built-up  Area,3.0,3.0,70.0
Sarjapur  Road,1845.0,3,Super built-up  Area,1.0,4.0,110.0
Jigani,2400.0,3,Plot  Area,1.0,4.0,130.0
Ulsoor,1200.0,2,Super built-up  Area,0.0,2.0,60.0
Talaghattapura,2254.0,3,Super built-up  Area,2.0,3.0,170.0
Frazer Town,1750.0,3,Super built-up  Area,2.0,3.0,150.0
others,1020.0,2,Built-up  Area,1.0,2.0,37.0
Bommanahalli,515.0,1,Built-up  Area,1.0,1.0,25.0
Lingadheeranahalli,1893.0,3,Super built-up  Area,2.0,3.0,140.0
others,3025.0,3,Super built-up  Area,0.0,3.0,500.0
others,830.0,2,Built-up  Area,0.0,2.0,34.0
Singasandra,600.0,2,Built-up  Area,1.0,2.0,36.5
Bisuvanahalli,1075.0,3,Super built-up  Area,1.0,2.0,90.0
others,3200.0,4,Plot  Area,2.0,4.0,1200.0
Kasavanhalli,1200.0,2,Super built-up  Area,1.0,2.0,78.0
Sarjapur  Road,1233.0,2,Super built-up  Area,2.0,2.0,77.65
Bannerghatta Road,1255.0,2,Super built-up  Area,2.0,2.0,65.26
Begur Road,1200.0,2,Super built-up  Area,2.0,2.0,37.8
Varthur,2145.0,3,Super built-up  Area,2.0,3.0,175.0
Kothannur,740.0,2,Built-up  Area,1.0,2.0,34.0
Kengeri,1250.0,3,Super built-up  Area,3.0,3.0,48.0
others,1210.0,2,Super built-up  Area,2.0,2.0,40.0
Sarjapur  Road,1525.0,3,Super built-up  Area,2.0,2.0,60.0
Kogilu,540.0,1,Built-up  Area,0.0,1.0,36.0
Tumkur Road,1240.0,3,Super built-up  Area,1.0,2.0,84.0
Subramanyapura,1245.0,3,Super built-up  Area,1.0,2.0,68.0
others,1865.0,3,Plot  Area,3.0,3.0,350.0
Hosa Road,1606.0,2,Super built-up  Area,0.0,2.0,36.43
Bisuvanahalli,1075.0,3,Super built-up  Area,1.0,2.0,35.99
Nagavara,2200.0,2,Built-up  Area,1.0,2.0,55.0
Whitefield,1155.0,2,Super built-up  Area,1.0,2.0,60.0
others,1520.0,2,Super built-up  Area,3.0,2.0,62.0
Thigalarapalya,3122.0,4,Super built-up  Area,2.0,6.0,245.0
Harlur,1290.0,2,Super built-up  Area,1.0,2.0,85.0
Kannamangala,3000.0,4,Built-up  Area,0.0,4.0,200.0
others,400.0,1,Built-up  Area,0.0,1.0,14.0
Banashankari,1340.0,3,Super built-up  Area,3.0,2.0,53.6
Malleshwaram,900.0,2,Super built-up  Area,1.0,2.0,95.0
Hennur Road,987.0,2,Super built-up  Area,1.0,2.0,49.0
Old Madras Road,1720.0,3,Super built-up  Area,2.0,3.0,100.0
Hebbal,1040.0,2,Super built-up  Area,1.0,2.0,50.0
Anandapura,900.0,2,Built-up  Area,0.0,2.0,64.0
Raja Rajeshwari Nagar,1030.0,2,Built-up  Area,1.0,2.0,50.0
Neeladri Nagar,2556.0,3,Super built-up  Area,2.0,3.0,133.0
Basavangudi,1850.0,3,Super built-up  Area,1.0,3.0,168.0
Kaval Byrasandra,750.0,4,Plot  Area,3.0,4.0,110.0
Balagere,1028.0,2,Super built-up  Area,1.0,2.0,31.86
7th Phase JP Nagar,1270.0,2,Super built-up  Area,1.0,2.0,83.0
Sahakara Nagar,1655.0,3,Built-up  Area,1.0,3.0,115.0
Electronics City Phase 1,940.0,2,Built-up  Area,1.0,2.0,40.0
Domlur,1050.0,2,Super built-up  Area,2.0,2.0,85.0
others,600.0,4,Plot  Area,1.0,4.0,40.0
others,946.0,2,Super built-up  Area,1.0,2.0,38.0
CV Raman Nagar,1726.0,3,Built-up  Area,3.0,3.0,145.0
Sarakki Nagar,2121.0,3,Super built-up  Area,3.0,4.0,253.0
Vittasandra,1404.0,2,Super built-up  Area,1.0,2.0,75.0
Sarjapur,1525.0,3,Super built-up  Area,2.0,2.0,48.0
Kengeri,1025.0,2,Super built-up  Area,2.0,2.0,57.0
others,1575.0,5,Plot  Area,0.0,4.0,150.0
others,860.0,2,Built-up  Area,1.0,1.0,43.0
Talaghattapura,1223.0,3,Super built-up  Area,1.0,2.0,42.81
Kothannur,1197.0,2,Super built-up  Area,1.0,2.0,47.8
Garudachar Palya,1150.0,2,Super built-up  Area,1.0,2.0,52.75
others,4800.0,4,Built-up  Area,3.0,5.0,629.0
R.T. Nagar,1040.0,2,Super built-up  Area,2.0,2.0,46.0
Banashankari,1310.0,2,Super built-up  Area,2.0,2.0,80.0
Uttarahalli,1788.0,3,Super built-up  Area,2.0,3.0,98.34
Raja Rajeshwari Nagar,1144.0,2,Super built-up  Area,2.0,2.0,38.55
Anjanapura,1070.0,2,Super built-up  Area,2.0,2.0,39.0
others,1200.0,2,Super built-up  Area,2.0,2.0,70.0
Ambedkar Nagar,1862.0,3,Super built-up  Area,2.0,3.0,120.0
Margondanahalli,1200.0,2,Plot  Area,1.0,2.0,58.5
Begur Road,970.0,2,Super built-up  Area,2.0,2.0,27.0
Kasavanhalli,1646.0,3,Super built-up  Area,2.0,3.0,79.5
Sarjapur  Road,4395.0,4,Super built-up  Area,2.0,4.0,242.0
others,1200.0,5,Plot  Area,1.0,4.0,100.0
Iblur Village,1995.0,3,Super built-up  Area,2.0,3.0,135.0
1st Block Jayanagar,2400.0,4,Plot  Area,2.0,4.0,450.0
Hosakerehalli,1085.0,2,Super built-up  Area,1.0,2.0,47.74
Budigere,1139.0,2,Super built-up  Area,2.0,2.0,56.8
Haralur Road,1092.0,2,Super built-up  Area,2.0,2.0,44.0
others,1767.0,3,Super built-up  Area,2.0,3.0,98.0
Bellandur,1692.0,3,Super built-up  Area,2.0,3.0,88.0
6th Phase JP Nagar,1645.0,3,Built-up  Area,3.0,3.0,100.0
Uttarahalli,1345.0,3,Super built-up  Area,1.0,2.0,57.0
others,1100.0,2,Super built-up  Area,1.0,2.0,60.0
Gollarapalya Hosahalli,1408.0,3,Super built-up  Area,3.0,3.0,62.0
Banashankari Stage III,2400.0,4,Plot  Area,1.0,4.0,240.0
Kadugodi,1920.0,4,Plot  Area,2.0,4.0,200.0
Thigalarapalya,2072.0,3,Super built-up  Area,2.0,4.0,150.0
Malleshwaram,1420.0,2,Super built-up  Area,1.0,2.0,158.0
Electronics City Phase 1,2040.0,3,Plot  Area,2.0,3.0,137.0
Sarjapur  Road,1220.0,3,Super built-up  Area,2.0,3.0,56.0
8th Phase JP Nagar,1200.0,4,Plot  Area,2.0,4.0,145.0
others,1300.0,2,Super built-up  Area,1.0,2.0,79.0
Electronics City Phase 1,1150.0,2,Super built-up  Area,2.0,2.0,39.0
KR Puram,1470.0,2,Super built-up  Area,2.0,2.0,86.0
Hosa Road,1063.0,2,Super built-up  Area,1.0,2.0,31.9
others,1311.0,2,Super built-up  Area,2.0,2.0,48.0
others,3500.0,4,Super built-up  Area,3.0,4.0,350.0
Nagarbhavi,600.0,4,Plot  Area,1.0,2.0,100.0
others,1400.0,3,Super built-up  Area,2.0,2.0,55.0
Kanakpura Road,2200.0,2,Built-up  Area,0.0,2.0,62.0
Vidyaranyapura,1060.0,2,Built-up  Area,2.0,2.0,55.0
others,1000.0,3,Built-up  Area,0.0,2.0,110.0
Sector 7 HSR Layout,1760.0,3,Super built-up  Area,2.0,3.0,145.0
Whitefield,2010.0,3,Super built-up  Area,3.0,3.0,92.0
Kanakpura Road,1480.0,3,Super built-up  Area,2.0,2.0,64.23
8th Phase JP Nagar,1230.0,3,Super built-up  Area,2.0,2.0,43.5
Gottigere,1300.0,3,Super built-up  Area,3.0,3.0,65.0
others,800.0,4,Plot  Area,0.0,4.0,120.0
Frazer Town,4850.0,4,Super built-up  Area,2.0,6.0,385.0
Singasandra,1100.0,2,Super built-up  Area,1.0,2.0,52.0
Harlur,1752.12,3,Super built-up  Area,2.0,3.0,116.0
Marathahalli,957.0,2,Super built-up  Area,1.0,2.0,46.9
Balagere,1113.0,1,Super built-up  Area,0.0,1.0,41.9
others,1942.0,3,Built-up  Area,2.0,3.0,102.0
others,1000.0,2,Built-up  Area,2.0,2.0,53.0
Yeshwanthpur,668.0,1,Super built-up  Area,1.0,1.0,36.85
others,3000.0,5,Plot  Area,3.0,6.0,1000.0
Nagarbhavi,600.0,3,Plot  Area,1.0,2.0,80.0
Uttarahalli,1089.0,2,Super built-up  Area,1.0,2.0,43.55
Thanisandra,1800.0,3,Super built-up  Area,3.0,3.0,90.0
Yelahanka New Town,960.0,1,Super built-up  Area,1.0,2.0,18.0
Yelahanka,1036.0,2,Super built-up  Area,3.0,2.0,39.35
Marathahalli,1583.0,3,Super built-up  Area,3.0,3.0,105.0
7th Phase JP Nagar,3300.0,4,Built-up  Area,0.0,4.0,150.0
Padmanabhanagar,1100.0,2,Super built-up  Area,2.0,2.0,65.0
others,800.0,1,Plot  Area,1.0,1.0,100.0
Vittasandra,1246.0,2,Super built-up  Area,1.0,2.0,65.0
Dodda Nekkundi,850.0,2,Super built-up  Area,3.0,2.0,28.0
Raja Rajeshwari Nagar,1196.0,2,Super built-up  Area,2.0,2.0,51.51
Thanisandra,1697.0,3,Super built-up  Area,2.0,3.0,114.0
TC Palaya,1000.0,2,Built-up  Area,0.0,2.0,64.0
HRBR Layout,1567.0,3,Super built-up  Area,3.0,3.0,90.0
Sarjapur  Road,3750.0,4,Plot  Area,3.0,6.0,290.0
others,950.0,2,Super built-up  Area,2.0,2.0,45.0
others,1022.0,2,Super built-up  Area,2.0,2.0,52.0
Kammasandra,1018.0,2,Super built-up  Area,0.0,2.0,23.45
others,2000.0,4,Plot  Area,2.0,3.0,25.0
Bharathi Nagar,1322.0,2,Super built-up  Area,2.0,2.0,68.0
others,1800.0,4,Plot  Area,2.0,4.0,145.0
others,1460.0,3,Super built-up  Area,2.0,2.0,58.39
others,990.0,2,Super built-up  Area,1.0,2.0,44.55
others,2400.0,3,Built-up  Area,1.0,3.0,260.0
Whitefield,1635.0,3,Super built-up  Area,2.0,2.0,85.0
Rajaji Nagar,3526.0,4,Super built-up  Area,1.0,4.0,558.0
Padmanabhanagar,3400.0,4,Built-up  Area,1.0,3.0,210.0
others,2770.0,3,Built-up  Area,1.0,3.0,460.0
EPIP Zone,4390.0,4,Super built-up  Area,0.0,5.0,200.0
others,1533.0,3,Super built-up  Area,2.0,3.0,85.0
Akshaya Nagar,1720.0,3,Super built-up  Area,1.0,3.0,134.0
Frazer Town,2000.0,3,Super built-up  Area,1.0,3.0,200.0
Yeshwanthpur,1185.0,2,Super built-up  Area,2.0,2.0,75.84
Varthur Road,900.0,2,Super built-up  Area,1.0,2.0,27.0
