area_type,balcony,location,size,total_sqft,bath,price
Plot  Area,2.0,Gottigere,4,2500.0,3.0,120.0
Super built-up  Area,2.0,Gottigere,3,1230.0,2.0,52.0
Super built-up  Area,2.0,Gottigere,2,1120.0,2.0,50.0
Super built-up  Area,2.0,Gottigere,3,1500.0,3.0,63.0
Super built-up  Area,3.0,Gottigere,2,1200.0,2.0,40.0
Super built-up  Area,1.0,Gottigere,2,1280.0,2.0,61.0
Super built-up  Area,1.0,Gottigere,2,1205.0,2.0,56.58
Super built-up  Area,2.0,Gottigere,2,1170.0,2.0,40.0
Built-up  Area,0.0,Gottigere,4,3000.0,3.0,132.0
Super built-up  Area,3.0,Gottigere,3,1613.0,3.0,72.0
Super built-up  Area,2.0,Gottigere,2,1110.0,2.0,36.25
Super built-up  Area,2.0,Gottigere,2,1245.0,2.0,59.0
Super built-up  Area,2.0,Gottigere,2,1200.0,2.0,50.0
Built-up  Area,2.0,Green Glen Layout,3,1670.0,3.0,120.0
Super built-up  Area,3.0,Green Glen Layout,4,3250.0,4.0,230.0
Super built-up  Area,2.0,Green Glen Layout,3,1776.42,3.0,105.0
Built-up  Area,1.0,Green Glen Layout,2,940.0,2.0,56.8
Built-up  Area,1.0,Green Glen Layout,2,1075.0,2.0,60.0
Super built-up  Area,2.0,Green Glen Layout,3,1715.0,3.0,115.0
Super built-up  Area,1.0,Green Glen Layout,3,1751.0,2.0,115.0
Super built-up  Area,2.0,Green Glen Layout,3,1530.0,3.0,105.0
Super built-up  Area,2.0,Green Glen Layout,3,1752.0,3.0,105.0
Super built-up  Area,3.0,Green Glen Layout,3,1680.0,4.0,95.0
Super built-up  Area,2.0,Green Glen Layout,3,1728.0,3.0,125.0
Super built-up  Area,2.0,Green Glen Layout,3,1645.0,3.0,110.0
Super built-up  Area,3.0,Green Glen Layout,3,1517.0,3.0,100.0
Super built-up  Area,3.0,Green Glen Layout,4,3150.0,4.0,218.0
Super built-up  Area,2.0,Green Glen Layout,3,1750.0,3.0,120.0
Super built-up  Area,2.0,Green Glen Layout,3,1751.0,3.0,115.0
Super built-up  Area,2.0,Green Glen Layout,3,1750.0,3.0,105.0
Super built-up  Area,2.0,Green Glen Layout,3,1885.0,3.0,135.0
Super built-up  Area,3.0,Green Glen Layout,3,1715.0,3.0,120.0
Super built-up  Area,2.0,Green Glen Layout,3,1623.29,2.0,105.0
Super built-up  Area,3.0,Green Glen Layout,3,1715.0,3.0,115.0
Super built-up  Area,2.0,Green Glen Layout,3,1715.0,3.0,105.0
Built-up  Area,3.0,Green Glen Layout,3,1600.0,3.0,105.0
Super built-up  Area,3.0,Green Glen Layout,3,1717.0,3.0,125.0
Built-up  Area,0.0,Green Glen Layout,2,1250.0,2.0,75.0
Super built-up  Area,3.0,Green Glen Layout,3,1715.0,3.0,112.0
Super built-up  Area,2.0,Gubbalala,3,1470.0,2.0,82.0
Super built-up  Area,2.0,Gubbalala,3,1745.0,3.0,104.0
Super built-up  Area,2.0,Gubbalala,3,1745.0,3.0,115.0
Super built-up  Area,2.0,Gubbalala,3,1745.0,3.0,110.0
Super built-up  Area,2.0,Gubbalala,3,1650.0,3.0,71.0
Super built-up  Area,2.0,Gubbalala,2,1205.0,2.0,70.0
Super built-up  Area,2.0,Gubbalala,3,1435.0,2.0,80.0
Super built-up  Area,2.0,Gubbalala,2,1475.0,2.0,80.0
Super built-up  Area,2.0,Gubbalala,2,1100.0,2.0,49.5
Super built-up  Area,1.0,Gubbalala,2,1060.0,2.0,46.0
Super built-up  Area,3.0,Gubbalala,3,2000.0,3.0,125.0
Super built-up  Area,3.0,Gunjur,2,1140.0,2.0,43.0
Built-up  Area,3.0,Gunjur,3,1600.0,3.0,75.0
Plot  Area,0.0,Gunjur,4,2000.0,3.0,95.0
Super built-up  Area,2.0,Gunjur,2,1140.0,2.0,49.11
Super built-up  Area,2.0,Gunjur,2,1195.0,2.0,44.0
Built-up  Area,3.0,Gunjur,2,1457.0,2.0,60.0
Super built-up  Area,2.0,Gunjur,2,1080.0,2.0,41.0
Super built-up  Area,2.0,Gunjur,2,1175.0,2.0,43.48
Super built-up  Area,2.0,Gunjur,3,1362.0,3.0,62.63
Super built-up  Area,1.0,Gunjur,2,1071.0,2.0,51.0
Super built-up  Area,2.0,Gunjur,2,1063.0,2.0,40.0
Super built-up  Area,2.0,Gunjur,2,1235.0,2.0,52.76
Super built-up  Area,1.0,Gunjur,3,1362.0,3.0,62.63
Super built-up  Area,3.0,Gunjur,2,1457.0,2.0,60.0
Built-up  Area,0.0,HBR Layout,3,2800.0,2.0,200.0
Super built-up  Area,2.0,HBR Layout,2,1200.0,2.0,60.0
Super built-up  Area,1.0,HBR Layout,2,1004.0,2.0,49.0
Built-up  Area,2.0,HBR Layout,3,1783.0,3.0,125.0
Super built-up  Area,2.0,HBR Layout,3,1656.0,3.0,90.0
Super built-up  Area,1.0,HBR Layout,2,1089.0,2.0,60.0
Super built-up  Area,1.0,HBR Layout,3,1700.0,3.0,110.0
Built-up  Area,1.0,HBR Layout,2,1198.0,2.0,65.0
Built-up  Area,0.0,HBR Layout,2,1200.0,2.0,120.0
Super built-up  Area,2.0,HBR Layout,3,1832.0,3.0,160.0
Built-up  Area,2.0,HRBR Layout,2,1374.0,2.0,95.0
Built-up  Area,2.0,HRBR Layout,2,1440.0,2.0,98.0
Super built-up  Area,2.0,HRBR Layout,3,2800.0,3.0,250.0
Super built-up  Area,1.0,HRBR Layout,2,1210.0,2.0,75.0
Super built-up  Area,1.0,HRBR Layout,2,1265.0,2.0,78.0
Super built-up  Area,2.0,HRBR Layout,2,1170.0,2.0,75.0
Built-up  Area,1.0,HRBR Layout,4,1900.0,3.0,90.0
Super built-up  Area,2.0,HRBR Layout,3,1625.0,3.0,120.0
Super built-up  Area,1.0,HRBR Layout,2,1301.0,2.0,120.0
Super built-up  Area,2.0,HRBR Layout,2,1145.0,2.0,68.5
Built-up  Area,3.0,HRBR Layout,2,1300.0,2.0,90.0
Super built-up  Area,1.0,HSR Layout,2,1372.0,2.0,68.0
Super built-up  Area,2.0,HSR Layout,3,1475.0,3.0,75.0
Built-up  Area,1.0,HSR Layout,2,1467.0,2.0,55.0
Super built-up  Area,2.0,HSR Layout,2,1140.0,2.0,46.0
Super built-up  Area,1.0,HSR Layout,2,1372.0,2.0,61.0
Super built-up  Area,2.0,HSR Layout,3,1750.0,3.0,95.0
Super built-up  Area,2.0,HSR Layout,2,1027.0,2.0,44.0
Super built-up  Area,2.0,HSR Layout,3,1650.0,3.0,110.0
Super built-up  Area,2.0,HSR Layout,2,1185.0,2.0,60.0
Super built-up  Area,1.0,HSR Layout,2,1127.0,2.0,68.0
Super built-up  Area,2.0,HSR Layout,3,1600.0,2.0,115.0
Super built-up  Area,2.0,HSR Layout,2,1145.0,2.0,48.0
Super built-up  Area,2.0,HSR Layout,2,1009.0,2.0,56.0
Built-up  Area,1.0,HSR Layout,4,2792.0,4.0,220.0
Super built-up  Area,2.0,HSR Layout,2,1300.0,2.0,98.0
Built-up  Area,1.0,HSR Layout,2,1126.0,2.0,69.0
Super built-up  Area,2.0,HSR Layout,2,1145.0,2.0,46.0
Super built-up  Area,2.0,HSR Layout,2,1142.0,2.0,65.0
Super built-up  Area,2.0,HSR Layout,3,2020.0,3.0,160.0
Super built-up  Area,3.0,HSR Layout,3,1844.0,3.0,95.0
Built-up  Area,2.0,HSR Layout,2,1203.0,2.0,72.0
Built-up  Area,2.0,HSR Layout,2,1145.0,2.0,46.0
Super built-up  Area,2.0,HSR Layout,2,1100.0,2.0,44.0
Super built-up  Area,2.0,HSR Layout,2,1203.0,2.0,60.0
Built-up  Area,1.0,HSR Layout,2,1120.0,2.0,70.0
Built-up  Area,2.0,HSR Layout,2,1203.0,2.0,60.0
Super built-up  Area,1.0,Haralur Road,2,1240.0,2.0,70.0
Super built-up  Area,2.0,Haralur Road,2,1027.0,2.0,44.0
Plot  Area,2.0,Haralur Road,4,2650.0,4.0,198.0
Built-up  Area,1.0,Haralur Road,2,1202.0,2.0,53.0
Super built-up  Area,1.0,Haralur Road,2,1056.0,2.0,61.0
Super built-up  Area,2.0,Haralur Road,3,1810.0,3.0,100.0
Super built-up  Area,1.0,Haralur Road,2,1225.0,2.0,67.38
Super built-up  Area,1.0,Haralur Road,3,1920.0,3.0,115.0
Super built-up  Area,2.0,Haralur Road,3,1875.0,3.0,110.0
Super built-up  Area,2.0,Haralur Road,3,2017.0,3.0,125.0
Super built-up  Area,3.0,Haralur Road,3,1875.0,3.0,110.0
Super built-up  Area,2.0,Haralur Road,2,1300.0,2.0,73.0
Super built-up  Area,3.0,Haralur Road,4,3400.0,5.0,240.0
Super built-up  Area,1.0,Haralur Road,2,1230.0,2.0,78.0
Built-up  Area,2.0,Haralur Road,2,1000.0,2.0,44.0
Super built-up  Area,2.0,Haralur Road,2,1300.0,2.0,79.0
Super built-up  Area,1.0,Haralur Road,3,1444.0,2.0,80.0
Built-up  Area,1.0,Haralur Road,2,1088.0,2.0,68.0
Super built-up  Area,1.0,Haralur Road,2,1027.0,2.0,44.0
Super built-up  Area,1.0,Haralur Road,2,1225.0,2.0,70.0
Super built-up  Area,2.0,Haralur Road,3,1830.0,3.0,101.0
Super built-up  Area,2.0,Haralur Road,3,1810.0,3.0,126.0
Super built-up  Area,2.0,Haralur Road,3,1520.0,2.0,96.0
Super built-up  Area,2.0,Haralur Road,2,1300.0,2.0,75.0
Super built-up  Area,2.0,Haralur Road,3,2017.0,2.0,125.0
Super built-up  Area,2.0,Haralur Road,3,1520.0,2.0,90.0
Built-up  Area,2.0,Haralur Road,2,1300.0,2.0,60.0
Super built-up  Area,2.0,Haralur Road,3,1985.0,3.0,130.0
Super built-up  Area,1.0,Haralur Road,3,1255.0,2.0,90.0
Super built-up  Area,1.0,Haralur Road,2,1056.0,2.0,60.0
Super built-up  Area,3.0,Haralur Road,2,1245.0,2.0,62.0
Built-up  Area,2.0,Haralur Road,2,1140.0,2.0,58.0
Super built-up  Area,2.0,Haralur Road,2,1027.0,2.0,43.0
Super built-up  Area,1.0,Haralur Road,3,1560.0,3.0,90.0
Super built-up  Area,2.0,Haralur Road,3,1520.0,2.0,85.0
Super built-up  Area,3.0,Haralur Road,3,1650.0,3.0,100.0
Super built-up  Area,2.0,Haralur Road,3,1510.0,3.0,83.05
Built-up  Area,1.0,Haralur Road,2,1056.0,2.0,65.0
Super built-up  Area,1.0,Haralur Road,1,575.0,1.0,38.0
Super built-up  Area,2.0,Haralur Road,3,1850.0,3.0,120.0
Super built-up  Area,1.0,Haralur Road,3,1730.0,3.0,95.0
Super built-up  Area,2.0,Haralur Road,3,1817.0,3.0,110.0
Super built-up  Area,1.0,Haralur Road,2,1225.0,2.0,77.0
Super built-up  Area,1.0,Haralur Road,2,1285.0,2.0,78.0
Super built-up  Area,1.0,Haralur Road,2,1225.0,2.0,67.48
Super built-up  Area,1.0,Haralur Road,2,1225.0,2.0,69.84
Super built-up  Area,1.0,Haralur Road,2,1315.0,2.0,85.0
Super built-up  Area,1.0,Haralur Road,2,1309.0,2.0,82.0
Super built-up  Area,2.0,Haralur Road,2,1027.0,1.0,44.0
Super built-up  Area,1.0,Haralur Road,2,1300.0,2.0,75.0
Super built-up  Area,1.0,Haralur Road,2,1230.0,2.0,67.65
Super built-up  Area,1.0,Haralur Road,3,1255.0,3.0,90.0
Super built-up  Area,2.0,Haralur Road,3,1735.0,3.0,97.0
Super built-up  Area,2.0,Haralur Road,3,1810.0,3.0,112.0
Super built-up  Area,1.0,Harlur,2,1174.0,2.0,69.0
Built-up  Area,1.0,Harlur,2,1197.0,2.0,84.0
Super built-up  Area,2.0,Harlur,3,1757.0,3.0,132.0
Super built-up  Area,1.0,Harlur,2,1174.0,2.0,76.0
Super built-up  Area,2.0,Harlur,3,1754.0,3.0,125.0
Super built-up  Area,1.0,Harlur,2,1290.0,2.0,85.0
Super built-up  Area,2.0,Harlur,3,1752.12,3.0,116.0
Super built-up  Area,2.0,Harlur,3,1754.0,3.0,124.0
Super built-up  Area,2.0,Harlur,2,1152.0,2.0,69.0
Super built-up  Area,1.0,Harlur,2,1290.0,2.0,87.0
Super built-up  Area,2.0,Harlur,3,1749.0,3.0,115.0
Super built-up  Area,2.0,Harlur,3,1758.0,3.0,133.0
Super built-up  Area,1.0,Harlur,2,1197.0,2.0,79.0
Super built-up  Area,1.0,Harlur,2,1174.0,2.0,78.0
Super built-up  Area,1.0,Harlur,2,1174.0,2.0,75.0
Super built-up  Area,1.0,Harlur,3,1620.0,3.0,110.0
Super built-up  Area,2.0,Harlur,3,1762.0,3.0,133.0
Super built-up  Area,2.0,Harlur,3,1756.0,3.0,131.0
Super built-up  Area,2.0,Harlur,3,1755.0,3.0,130.0
Super built-up  Area,1.0,Harlur,3,1864.0,3.0,140.0
Super built-up  Area,1.0,Harlur,2,1331.0,2.0,88.0
Super built-up  Area,2.0,Harlur,3,1752.12,3.0,133.0
Super built-up  Area,2.0,Harlur,3,1756.0,3.0,128.0
Super built-up  Area,2.0,Harlur,3,1749.0,3.0,120.0
Built-up  Area,1.0,Harlur,2,1197.0,2.0,82.0
Super built-up  Area,1.0,Harlur,2,1303.0,2.0,90.0
Super built-up  Area,2.0,Harlur,3,1754.0,3.0,132.0
Super built-up  Area,1.0,Harlur,2,1197.0,2.0,78.0
Super built-up  Area,1.0,Harlur,2,1290.0,2.0,89.9
Super built-up  Area,2.0,Harlur,2,1386.0,2.0,85.0
Super built-up  Area,1.0,Harlur,2,1174.0,2.0,74.0
Super built-up  Area,2.0,Harlur,3,1755.0,3.0,115.0
Super built-up  Area,1.0,Harlur,2,1197.0,2.0,77.0
Super built-up  Area,2.0,Harlur,3,1752.12,3.0,125.0
Super built-up  Area,3.0,Harlur,4,2569.0,5.0,180.0
Super built-up  Area,1.0,Harlur,2,1197.0,2.0,76.0
Super built-up  Area,1.0,Harlur,2,1197.0,2.0,75.0
Super built-up  Area,2.0,Harlur,3,1755.0,3.0,117.0
Super built-up  Area,1.0,Harlur,2,1197.0,2.0,79.9
Super built-up  Area,1.0,Harlur,4,2990.0,4.0,225.0
Built-up  Area,2.0,Harlur,2,1370.0,2.0,88.0
Super built-up  Area,2.0,Hebbal,3,1760.0,2.0,123.0
Super built-up  Area,1.0,Hebbal,2,1349.0,2.0,98.2
Super built-up  Area,2.0,Hebbal,4,2483.0,5.0,212.0
Super built-up  Area,2.0,Hebbal,3,1760.0,2.0,130.0
Super built-up  Area,2.0,Hebbal,3,1920.0,3.0,134.0
Super built-up  Area,1.0,Hebbal,3,1500.0,3.0,150.0
Super built-up  Area,1.0,Hebbal,2,1337.0,2.0,82.0
Super built-up  Area,1.0,Hebbal,2,1349.0,2.0,98.0
Super built-up  Area,2.0,Hebbal,4,2470.0,5.0,247.0
Super built-up  Area,1.0,Hebbal,2,1036.0,2.0,50.0
Super built-up  Area,2.0,Hebbal,3,1790.0,3.0,127.0
Super built-up  Area,2.0,Hebbal,3,1985.0,4.0,189.0
Super built-up  Area,2.0,Hebbal,4,2483.0,5.0,215.0
Super built-up  Area,1.0,Hebbal,2,1080.0,2.0,54.0
Super built-up  Area,2.0,Hebbal,2,812.0,2.0,55.0
Built-up  Area,3.0,Hebbal,2,1075.0,2.0,52.0
Super built-up  Area,2.0,Hebbal,4,3067.0,4.0,230.0
Super built-up  Area,1.0,Hebbal,2,1040.0,2.0,50.0
Super built-up  Area,2.0,Hebbal,3,2526.0,2.0,250.0
Super built-up  Area,3.0,Hebbal,4,3067.0,4.0,230.0
Carpet  Area,1.0,Hebbal,2,823.0,2.0,50.63
Super built-up  Area,1.0,Hebbal,2,1420.0,2.0,123.0
Super built-up  Area,1.0,Hebbal,2,1420.0,2.0,99.39
Super built-up  Area,2.0,Hebbal,4,4235.0,4.0,365.0
Super built-up  Area,2.0,Hebbal,3,1700.0,3.0,124.0
Super built-up  Area,3.0,Hebbal,4,3960.0,5.0,386.0
Super built-up  Area,1.0,Hebbal,2,1440.0,2.0,115.0
Super built-up  Area,1.0,Hebbal,2,1100.0,2.0,54.0
Super built-up  Area,1.0,Hebbal,3,2400.0,4.0,180.0
Built-up  Area,2.0,Hebbal,2,1420.0,2.0,107.0
Super built-up  Area,1.0,Hebbal,2,1320.0,2.0,92.0
Built-up  Area,1.0,Hebbal,2,919.0,2.0,49.0
Super built-up  Area,2.0,Hebbal,3,1645.0,3.0,135.0
Super built-up  Area,3.0,Hebbal,3,2080.0,3.0,175.0
Super built-up  Area,2.0,Hebbal,4,2483.0,5.0,230.0
Super built-up  Area,2.0,Hebbal,3,2600.0,3.0,195.0
Super built-up  Area,2.0,Hebbal,3,1645.0,3.0,117.0
Super built-up  Area,1.0,Hebbal,2,1251.0,2.0,88.73
Super built-up  Area,2.0,Hebbal,3,1645.0,3.0,121.0
Super built-up  Area,2.0,Hebbal,3,1760.0,3.0,123.0
Super built-up  Area,2.0,Hebbal,3,1645.0,3.0,120.0
Super built-up  Area,1.0,Hebbal,3,1255.0,2.0,90.0
Super built-up  Area,1.0,Hebbal,3,1636.0,3.0,119.0
Super built-up  Area,1.0,Hebbal,3,1255.0,2.0,95.0
Super built-up  Area,2.0,Hebbal,2,1088.0,2.0,61.45
Super built-up  Area,1.0,Hebbal,2,1349.0,2.0,97.8
Super built-up  Area,1.0,Hebbal,2,1344.0,2.0,108.0
Super built-up  Area,1.0,Hebbal,2,1138.0,2.0,110.0
Super built-up  Area,3.0,Hebbal,4,2790.0,5.0,204.0
Super built-up  Area,2.0,Hebbal,2,1088.0,2.0,62.0
Super built-up  Area,2.0,Hebbal,3,1987.0,4.0,165.0
Built-up  Area,1.0,Hebbal,2,1299.0,2.0,100.0
Super built-up  Area,1.0,Hebbal,2,1200.0,2.0,60.0
Super built-up  Area,2.0,Hebbal,2,1390.0,2.0,95.0
Super built-up  Area,1.0,Hebbal,2,1333.0,2.0,100.0
Super built-up  Area,3.0,Hebbal,3,2650.0,4.0,199.0
Super built-up  Area,2.0,Hebbal,3,1800.0,3.0,140.0
Super built-up  Area,2.0,Hebbal,4,2470.0,4.0,203.0
Built-up  Area,1.0,Hebbal,2,1333.0,2.0,104.0
Super built-up  Area,2.0,Hebbal,3,2600.0,3.0,199.0
Super built-up  Area,1.0,Hebbal,2,1345.0,2.0,97.0
Super built-up  Area,2.0,Hebbal,2,985.0,2.0,62.0
Super built-up  Area,1.0,Hebbal,2,1320.0,2.0,91.0
Super built-up  Area,1.0,Hebbal,3,2388.0,3.0,195.0
Super built-up  Area,1.0,Hebbal,2,1040.0,2.0,55.0
Super built-up  Area,1.0,Hebbal,2,1150.0,2.0,55.0
Built-up  Area,0.0,Hebbal,2,1075.0,2.0,52.0
Super built-up  Area,2.0,Hebbal,3,1645.0,3.0,113.0
Super built-up  Area,1.0,Hebbal,2,1162.0,2.0,69.0
Built-up  Area,1.0,Hebbal,2,1100.0,2.0,60.0
Super built-up  Area,3.0,Hebbal,4,4235.0,5.0,364.0
Super built-up  Area,1.0,Hebbal,2,1299.0,2.0,97.0
Super built-up  Area,2.0,Hebbal,4,2470.0,5.0,192.0
Super built-up  Area,2.0,Hebbal,3,1920.0,3.0,150.0
Super built-up  Area,2.0,Hebbal,4,2375.0,4.0,189.0
Super built-up  Area,1.0,Hebbal,2,1420.0,2.0,99.26
Super built-up  Area,1.0,Hebbal,2,1252.0,2.0,92.0
Super built-up  Area,1.0,Hebbal,2,1162.0,2.0,59.0
Super built-up  Area,1.0,Hebbal,2,1294.0,2.0,115.0
Built-up  Area,1.0,Hebbal,2,1150.0,2.0,57.0
Super built-up  Area,1.0,Hebbal,3,1740.0,2.0,137.0
Super built-up  Area,2.0,Hebbal,3,1662.0,3.0,155.0
Super built-up  Area,1.0,Hebbal,2,1349.0,2.0,96.8
Super built-up  Area,2.0,Hebbal Kempapura,3,1700.0,3.0,155.0
Super built-up  Area,2.0,Hebbal Kempapura,3,1800.0,3.0,175.0
Super built-up  Area,2.0,Hebbal Kempapura,3,3522.0,3.0,380.0
Plot  Area,1.0,Hebbal Kempapura,2,1200.0,2.0,125.0
Built-up  Area,2.0,Hebbal Kempapura,2,1300.0,2.0,102.0
Super built-up  Area,3.0,Hebbal Kempapura,3,1466.0,2.0,140.0
Built-up  Area,1.0,Hebbal Kempapura,3,1725.0,2.0,165.0
Built-up  Area,3.0,Hebbal Kempapura,3,3408.0,3.0,260.0
Super built-up  Area,3.0,Hebbal Kempapura,2,1485.0,3.0,132.0
Super built-up  Area,2.0,Hebbal Kempapura,2,1400.0,2.0,108.0
Super built-up  Area,3.0,Hebbal Kempapura,3,1800.0,3.0,150.0
Plot  Area,2.0,Hebbal Kempapura,5,2400.0,5.0,200.0
Built-up  Area,1.0,Hebbal Kempapura,5,2800.0,5.0,220.0
Built-up  Area,0.0,Hebbal Kempapura,3,1785.0,3.0,165.0
Super built-up  Area,2.0,Hebbal Kempapura,4,3729.0,4.0,384.0
Super built-up  Area,3.0,Hebbal Kempapura,3,1600.0,3.0,170.0
Super built-up  Area,2.0,Hebbal Kempapura,3,1730.0,3.0,175.0
Super built-up  Area,1.0,Hegde Nagar,3,1569.0,3.0,101.0
Built-up  Area,2.0,Hegde Nagar,6,3000.0,7.0,210.0
Super built-up  Area,2.0,Hegde Nagar,3,2026.0,3.0,132.0
Super built-up  Area,2.0,Hegde Nagar,3,1801.0,3.0,115.0
Super built-up  Area,1.0,Hegde Nagar,2,1341.0,2.0,97.0
Super built-up  Area,2.0,Hegde Nagar,3,2112.95,4.0,145.0
Super built-up  Area,2.0,Hegde Nagar,3,1703.0,3.0,113.0
Super built-up  Area,1.0,Hegde Nagar,3,1570.0,3.0,105.0
Super built-up  Area,2.0,Hegde Nagar,3,1801.0,3.0,140.0
Super built-up  Area,1.0,Hegde Nagar,3,1584.01,3.0,103.0
Super built-up  Area,2.0,Hegde Nagar,3,1965.0,4.0,125.0
Plot  Area,0.0,Hegde Nagar,2,1200.0,2.0,75.0
Super built-up  Area,2.0,Hegde Nagar,3,1847.0,3.0,135.0
Super built-up  Area,2.0,Hegde Nagar,3,1965.0,4.0,132.0
Super built-up  Area,2.0,Hegde Nagar,3,1703.0,3.0,125.0
Super built-up  Area,2.0,Hegde Nagar,3,1847.0,3.0,125.0
Super built-up  Area,2.0,Hegde Nagar,3,2144.6,4.0,145.0
Super built-up  Area,2.0,Hegde Nagar,3,1718.0,3.0,119.0
Super built-up  Area,2.0,Hegde Nagar,3,1847.0,3.0,123.0
Super built-up  Area,2.0,Hegde Nagar,2,1340.0,2.0,72.0
Super built-up  Area,2.0,Hegde Nagar,3,2087.01,3.0,115.0
Super built-up  Area,2.0,Hegde Nagar,3,1703.0,3.0,130.0
Super built-up  Area,2.0,Hegde Nagar,3,2087.01,4.0,135.0
Super built-up  Area,2.0,Hegde Nagar,3,1718.0,3.0,130.0
Super built-up  Area,2.0,Hegde Nagar,3,1884.0,4.0,118.0
Super built-up  Area,2.0,Hegde Nagar,3,1930.0,4.0,122.0
Super built-up  Area,1.0,Hegde Nagar,3,1584.01,3.0,104.0
Super built-up  Area,1.0,Hegde Nagar,3,1168.0,2.0,68.0
Super built-up  Area,2.0,Hegde Nagar,3,2162.03,4.0,129.0
Super built-up  Area,2.0,Hegde Nagar,3,2087.01,4.0,160.0
Plot  Area,0.0,Hegde Nagar,2,1000.0,2.0,66.0
Built-up  Area,2.0,Hegde Nagar,3,1348.0,2.0,80.5
Super built-up  Area,1.0,Hennur,2,1075.0,2.0,52.0
Super built-up  Area,1.0,Hennur,2,1255.0,2.0,52.32
Super built-up  Area,1.0,Hennur,2,1225.0,2.0,57.0
Super built-up  Area,1.0,Hennur,2,1255.0,2.0,57.5
Super built-up  Area,2.0,Hennur,2,1259.0,2.0,57.0
Super built-up  Area,2.0,Hennur,2,1255.0,2.0,53.5
Super built-up  Area,1.0,Hennur,2,1285.0,2.0,60.0
Built-up  Area,1.0,Hennur,2,1100.0,2.0,60.0
Super built-up  Area,2.0,Hennur,2,1231.0,2.0,48.0
Super built-up  Area,1.0,Hennur,2,1255.0,2.0,58.0
Super built-up  Area,2.0,Hennur,2,1040.0,2.0,42.12
Super built-up  Area,1.0,Hennur,2,1255.0,2.0,54.5
Super built-up  Area,2.0,Hennur,2,1041.0,2.0,40.6
Super built-up  Area,1.0,Hennur,2,1255.0,2.0,55.5
Super built-up  Area,2.0,Hennur,2,1231.0,2.0,50.0
Built-up  Area,2.0,Hennur,5,2500.0,5.0,125.0
Super built-up  Area,1.0,Hennur,2,1160.0,2.0,49.0
Super built-up  Area,2.0,Hennur,2,1255.0,2.0,55.5
Super built-up  Area,1.0,Hennur,2,1100.0,2.0,44.55
Super built-up  Area,1.0,Hennur,2,960.0,2.0,48.0
Super built-up  Area,1.0,Hennur,2,1020.0,2.0,48.0
Super built-up  Area,1.0,Hennur,2,1295.0,2.0,64.0
Super built-up  Area,2.0,Hennur,3,1935.0,3.0,102.0
Super built-up  Area,1.0,Hennur,3,1345.0,2.0,69.0
Built-up  Area,1.0,Hennur,2,1420.0,2.0,62.0
Super built-up  Area,2.0,Hennur,2,1155.0,2.0,54.5
Super built-up  Area,2.0,Hennur,2,1255.0,2.0,52.35
Super built-up  Area,2.0,Hennur,2,1255.0,2.0,54.5
Super built-up  Area,3.0,Hennur,3,1830.0,2.0,113.0
Super built-up  Area,1.0,Hennur,2,1255.0,2.0,53.57
Super built-up  Area,2.0,Hennur,2,1255.0,2.0,56.5
Built-up  Area,2.0,Hennur,2,1050.0,2.0,42.73
Super built-up  Area,1.0,Hennur,2,1295.0,2.0,62.0
Super built-up  Area,2.0,Hennur Road,3,2089.0,3.0,140.0
Super built-up  Area,1.0,Hennur Road,2,1385.0,2.0,83.09
Built-up  Area,1.0,Hennur Road,3,2264.0,3.0,159.0
Built-up  Area,1.0,Hennur Road,2,1157.0,2.0,84.0
Super built-up  Area,2.0,Hennur Road,3,1904.0,3.0,120.0
Super built-up  Area,1.0,Hennur Road,3,1891.0,3.0,109.0
Super built-up  Area,2.0,Hennur Road,3,1561.0,3.0,95.0
Super built-up  Area,1.0,Hennur Road,3,2060.0,3.0,149.0
Super built-up  Area,1.0,Hennur Road,3,1482.0,2.0,92.0
Super built-up  Area,2.0,Hennur Road,2,1232.0,2.0,89.0
Super built-up  Area,1.0,Hennur Road,2,1065.0,2.0,42.6
Super built-up  Area,2.0,Hennur Road,3,1482.0,2.0,83.73
Super built-up  Area,1.0,Hennur Road,3,1482.0,2.0,87.0
Super built-up  Area,1.0,Hennur Road,3,1891.0,3.0,139.0
Super built-up  Area,0.0,Hennur Road,2,1232.0,2.0,69.61
Super built-up  Area,1.0,Hennur Road,2,987.0,2.0,49.0
Super built-up  Area,2.0,Hennur Road,3,1804.0,3.0,102.0
Built-up  Area,2.0,Hennur Road,3,2160.0,3.0,160.0
Super built-up  Area,2.0,Hennur Road,3,2350.0,3.0,174.0
Super built-up  Area,3.0,Hennur Road,3,1586.0,3.0,93.94
Super built-up  Area,3.0,Hennur Road,3,1975.0,3.0,123.0
Super built-up  Area,1.0,Hennur Road,3,1290.0,2.0,94.5
Super built-up  Area,1.0,Hennur Road,2,901.0,2.0,49.5
Super built-up  Area,1.0,Hennur Road,3,1445.0,3.0,86.56
Super built-up  Area,3.0,Hennur Road,3,1482.0,2.0,97.0
Super built-up  Area,2.0,Hennur Road,2,1182.0,2.0,82.5
Super built-up  Area,1.0,Hennur Road,2,1036.0,2.0,59.46
Super built-up  Area,1.0,Hennur Road,2,1232.0,2.0,69.61
Super built-up  Area,2.0,Hennur Road,3,2320.0,3.0,170.0
Super built-up  Area,1.0,Hennur Road,3,1936.0,3.0,118.0
Super built-up  Area,2.0,Hennur Road,2,1480.0,2.0,65.0
Super built-up  Area,2.0,Hennur Road,3,1590.0,3.0,96.5
